#,1#,2#,#3,10#,4#,5#,6#,7#
30347,manage-cells,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/manage-cells,1,"Super Admin",66.29.141.137,2023-08-23T07:12:21.000000Z,2023-08-23T07:12:21.000000Z
30346,add-edit-cells,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/add-edit-cells,1,"Super Admin",66.29.141.137,2023-08-23T07:11:36.000000Z,2023-08-23T07:11:36.000000Z
30345,manage-cells,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/manage-cells,1,"Super Admin",66.29.141.137,2023-08-23T07:11:30.000000Z,2023-08-23T07:11:30.000000Z
30344,manage-cells,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/manage-cells,1,"Super Admin",66.29.141.137,2023-08-23T07:11:26.000000Z,2023-08-23T07:11:26.000000Z
30343,add-edit-cells,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/add-edit-cells,1,"Super Admin",66.29.141.137,2023-08-23T07:11:15.000000Z,2023-08-23T07:11:15.000000Z
30342,manage-cells,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/manage-cells,1,"Super Admin",66.29.141.137,2023-08-23T07:10:37.000000Z,2023-08-23T07:10:37.000000Z
30341,manage-main-menu,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/manage-main-menu,55,Aman,66.29.141.137,2023-08-23T07:01:13.000000Z,2023-08-23T07:01:13.000000Z
30340,add-edit-sub-child-menu,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/add-edit-sub-child-menu,55,Aman,66.29.141.137,2023-08-23T07:01:12.000000Z,2023-08-23T07:01:12.000000Z
30339,childmenushow,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/childmenushow,55,Aman,66.29.141.137,2023-08-23T07:01:08.000000Z,2023-08-23T07:01:08.000000Z
30338,submenushow,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/submenushow,55,Aman,66.29.141.137,2023-08-23T07:01:07.000000Z,2023-08-23T07:01:07.000000Z
30337,dropdown,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/dropdown,55,Aman,66.29.141.137,2023-08-23T07:00:38.000000Z,2023-08-23T07:00:38.000000Z
